date,TOYOTA,SHO_MTI,ENEOS,SBI_HD,JT,TAKEDA,TO_DEN,AGC
2001/1/4 0:00,744,693.333313,568,8333.333008,840,6760,2870,4600
2001/1/5 0:00,762,693.333313,548,8333.333008,873,6580,2800,4655
2001/1/9 0:00,768,680,531,7944.444336,776,6850,2805,4600
2001/1/10 0:00,734,686.666687,510,7500,792,6850,2840,4540
2001/1/11 0:00,680,653.333313,509,6500,795,6850,2850,4540
2001/1/12 0:00,688,666.666687,543,6888.888672,790,6550,2735,4495
2001/1/15 0:00,704,663.333313,545,7222.222168,800,6180,2620,4450
2001/1/16 0:00,794,673.333313,534,7611.111328,790,6230,2560,4430
2001/1/17 0:00,804,683.333313,539,8722.222656,799,6130,2630,4390
2001/1/18 0:00,790,693.333313,526,9722.222656,789,6070,2560,4390
2001/1/19 0:00,790,700,502,10277.77734,805,6200,2525,4580
2001/1/22 0:00,778,693.333313,510,9722.222656,810,6300,2610,4650
2001/1/23 0:00,766,686.666687,521,9000,802,6220,2625,4615
2001/1/24 0:00,770,680,513,9500,819,6220,2625,4605
2001/1/25 0:00,778,676.666687,512,10444.44434,863,6070,2650,4590
2001/1/26 0:00,770,680,529,9333.333008,848,6360,2670,4500
2001/1/29 0:00,780,706.666687,543,9444.444336,840,6440,2645,4535
2001/1/30 0:00,792,730,539,9611.111328,836,6200,2600,4545
2001/1/31 0:00,794,746.666687,531,9333.333008,821,6180,2550,4555
2001/2/1 0:00,806,746.666687,530,9333.333008,820,6300,2540,4520
2001/2/2 0:00,788,733.333313,525,9166.666992,817,6350,2510,4490
2001/2/5 0:00,766,713.333313,527,9111.111328,813,6190,2535,4480
2001/2/6 0:00,770,703.333313,521,9444.444336,830,6060,2540,4355
2001/2/7 0:00,778,706.666687,527,9166.666992,818,6110,2570,4265
2001/2/8 0:00,778,710,528,9111.111328,830,6080,2570,4280
2001/2/9 0:00,790,736.666687,530,8888.888672,806,6100,2580,4240
2001/2/13 0:00,800,750,542,8666.666992,824,6120,2570,4325
2001/2/14 0:00,806,740,572,8833.333008,840,5780,2590,4300
2001/2/15 0:00,804,743.333313,583,10500,838,5900,2590,4190
2001/2/16 0:00,804,736.666687,571,10111.11133,838,5700,2635,4100
2001/2/19 0:00,794,730,580,9722.222656,825,5700,2675,4000
