date,TOYOTA,SHO_MTI,ENEOS,SBI_HD,JT,TAKEDA,TO_DEN,AGC
2001/1/4 0:00,744,693.333313,568,8333.333008,840,6760,2870,4600
2001/1/5 0:00,753,693.333313,558,8333.333008,856.5,6670,2835,4627.5
2001/1/9 0:00,758,688.8888753,549,8203.703451,829.6666667,6730,2825,4618.333333
2001/1/10 0:00,752,688.3333283,539.25,8027.777588,820.25,6760,2828.75,4598.75
2001/1/11 0:00,737.6,681.3333252,533.2,7722.22207,815.2,6778,2833,4587
2001/1/12 0:00,729.3333333,678.8888855,534.8333333,7583.333171,811,6740,2816.666667,4571.666667
2001/1/15 0:00,725.7142857,676.6666609,536.2857143,7531.745885,809.4285714,6660,2788.571429,4554.285714
2001/1/16 0:00,734.25,676.2499924,536,7541.666565,807,6606.25,2760,4538.75
2001/1/17 0:00,742,677.037028,536.3333333,7672.839464,806.1111111,6553.333333,2745.555556,4522.222222
2001/1/18 0:00,746.8,678.6666565,535.3,7877.777783,804.4,6505,2727,4509
2001/1/19 0:00,751.4,679.3333252,528.7,8072.222216,800.9,6449,2692.5,4507
2001/1/22 0:00,753,679.3333252,524.9,8211.111181,794.6,6421,2673.5,4506.5
2001/1/23 0:00,752.8,679.9999939,523.9,8316.666748,797.2,6358,2655.5,4508
2001/1/24 0:00,756.4,679.3333252,524.2,8516.666748,799.9,6295,2634,4514.5
2001/1/25 0:00,766.2,681.6666626,524.5,8911.111182,806.7,6217,2614,4519.5
2001/1/26 0:00,774.4,682.9999939,523.1,9155.555615,812.5,6198,2607.5,4520
2001/1/29 0:00,782,687.3333313,522.9,9377.777832,816.5,6224,2610,4528.5
2001/1/30 0:00,781.8,693,523.4,9577.777832,821.1,6221,2614,4540
2001/1/31 0:00,780.8,699.3333374,522.6,9638.888867,823.3,6226,2606,4556.5
2001/2/1 0:00,782.4,704.6666748,523,9599.999902,826.4,6249,2604,4569.5
2001/2/2 0:00,782.2,708.0000061,525.3,9488.888868,827.6,6264,2602.5,4560.5
2001/2/5 0:00,781,710.0000061,527,9427.777735,827.9,6253,2595,4543.5
2001/2/6 0:00,781.4,711.6666687,527,9472.222168,830.7,6237,2586.5,4517.5
2001/2/7 0:00,782.2,714.3333374,528.4,9438.888868,830.6,6226,2581,4483.5
2001/2/8 0:00,782.2,717.6666687,530,9305.555566,827.3,6227,2573,4452.5
2001/2/9 0:00,784.2,723.3333374,530.1,9261.111133,823.1,6201,2564,4426.5
2001/2/13 0:00,786.2,727.6666687,530,9183.333398,821.5,6169,2556.5,4405.5
2001/2/14 0:00,787.6,728.6666687,533.3,9105.555566,821.9,6127,2555.5,4381
2001/2/15 0:00,788.6,728.3333313,538.5,9222.222266,823.6,6099,2559.5,4344.5
2001/2/16 0:00,788.4,727.3333313,542.6,9300.000098,825.4,6039,2569,4302.5
2001/2/19 0:00,789,727,548.1,9355.555664,826.2,5974,2585.5,4253.5
2001/2/20 0:00,791.6,730.3333374,551.9,9416.666797,827.6,5930,2602,4208
2001/2/21 0:00,793.6,734.3333374,557,9361.111231,828.5,5897,2617.5,4172.5
2001/2/22 0:00,796.2,738.3333374,561.1,9311.111231,831.9,5868,2641.5,4139
2001/2/23 0:00,799.2,743.6666687,564.8,9283.333399,833.7,5840,2660.5,4111
