date,TOYOTA,SHO_MTI,ENEOS,SBI_HD,JT,TAKEDA,TO_DEN,AGC
2001/1/4 0:00,0,0,0,0,0,0,0,0
2001/1/5 0:00,18,0,-20,0,33,-180,-70,55
2001/1/9 0:00,6,-13.333313,-17,-388.888672,-97,270,5,-55
2001/1/10 0:00,-34,6.666687,-21,-444.444336,16,0,35,-60
2001/1/11 0:00,-54,-33.333374,-1,-1000,3,0,10,0
2001/1/12 0:00,8,13.333374,34,388.888672,-5,-300,-115,-45
2001/1/15 0:00,16,-3.333374,2,333.333496,10,-370,-115,-45
2001/1/16 0:00,90,10,-11,388.88916,-10,50,-60,-20
2001/1/17 0:00,10,10,5,1111.111328,9,-100,70,-40
2001/1/18 0:00,-14,10,-13,1000,-10,-60,-70,0
2001/1/19 0:00,0,6.666687,-24,555.554684,16,130,-35,190
2001/1/22 0:00,-12,-6.666687,8,-555.554684,5,100,85,70
2001/1/23 0:00,-12,-6.666626,11,-722.222656,-8,-80,15,-35
2001/1/24 0:00,4,-6.666687,-8,500,17,0,0,-10
2001/1/25 0:00,8,-3.333313,-1,944.44434,44,-150,25,-15
2001/1/26 0:00,-8,3.333313,17,-1111.111332,-15,290,20,-90
2001/1/29 0:00,10,26.666687,14,111.111328,-8,80,-25,35
2001/1/30 0:00,12,23.333313,-4,166.666992,-4,-240,-45,10
2001/1/31 0:00,2,16.666687,-8,-277.77832,-15,-20,-50,10
2001/2/1 0:00,12,0,-1,0,-1,120,-10,-35
2001/2/2 0:00,-18,-13.333374,-5,-166.666016,-3,50,-30,-30
2001/2/5 0:00,-22,-20,2,-55.555664,-4,-160,25,-10
2001/2/6 0:00,4,-10,-6,333.333008,17,-130,5,-125
2001/2/7 0:00,8,3.333374,6,-277.777344,-12,50,30,-90
2001/2/8 0:00,0,3.333313,1,-55.555664,12,-30,0,15
2001/2/9 0:00,12,26.666687,2,-222.222656,-24,20,10,-40
2001/2/13 0:00,10,13.333313,12,-222.22168,18,20,-10,85
2001/2/14 0:00,6,-10,30,166.666016,16,-340,20,-25
2001/2/15 0:00,-2,3.333313,11,1666.666992,-2,120,0,-110
2001/2/16 0:00,0,-6.666626,-12,-388.88867,0,-200,45,-90
2001/2/19 0:00,-10,-6.666687,9,-388.888674,-13,0,40,-100
2001/2/20 0:00,-2,16.666687,-15,0,2,50,25,25
2001/2/21 0:00,-2,-3.333374,7,-833.333984,12,-20,-5,-25
2001/2/22 0:00,14,3.333374,-4,-222.22168,13,90,115,-70
2001/2/23 0:00,4,16.666626,-3,166.666016,-4,-20,-50,70
2001/2/26 0:00,10,23.333374,20,-222.22168,-8,-70,25,-5
2001/2/27 0:00,0,13.333313,-6,0,-1,20,10,-5
2001/2/28 0:00,-2,16.666687,7,-277.77832,-12,-200,-10,55
2001/3/1 0:00,-26,13.333313,-16,-333.333008,13,-40,-120,-75
2001/3/2 0:00,-4,-43.333313,-5,-111.111328,-40,-10,35,-15
2001/3/5 0:00,10,-6.666687,10,-500,25,-20,85,45
2001/3/6 0:00,6,26.666687,8,722.222656,10,20,5,95
2001/3/7 0:00,8,-23.333374,-17,333.333008,-8,60,-10,90
2001/3/8 0:00,4,-3.333313,17,-222.22168,3,190,-45,-60
2001/3/9 0:00,12,-3.333313,7,-500.000488,-7,90,-15,35
2001/3/12 0:00,2,-13.333374,-14,-277.777832,-21,-260,-5,-195
2001/3/13 0:00,-16,-6.666626,17,-444.444336,-12,50,-35,-245
2001/3/15 0:00,18,-10,26,777.777832,35,220,35,480
2001/3/16 0:00,6,16.666626,-14,-166.666504,-28,110,10,-160
2001/3/19 0:00,36,-10,18,55.555176,-6,-80,70,40
2001/3/21 0:00,58,63.333374,12,-55.555176,29,720,150,270
2001/3/22 0:00,-26,-46.666687,-17,222.222168,-7,-470,-70,-200
2001/3/23 0:00,0,46.666687,13,-166.666992,-16,270,-60,285
2001/3/26 0:00,26,10,15,333.333496,-10,100,80,90
2001/3/27 0:00,2,-10,3,-166.666504,27,150,-45,-50
2001/3/28 0:00,-14,6.666626,-4,222.222168,17,-100,-10,145
2001/3/29 0:00,-34,20,-4,-222.222168,-11,-520,-85,-275
2001/3/30 0:00,-14,-43.333313,-16,388.88916,8,20,35,55
2001/4/2 0:00,-4,0,-11,1111.110352,-23,-120,-40,-145
2001/4/3 0:00,2,13.333313,24,1500.000002,30,230,15,170
2001/4/4 0:00,-2,16.666687,14,-111.11035,5,110,55,-20
2001/4/5 0:00,-2,26.666687,0,-777.778324,-1,80,40,120
2001/4/6 0:00,-4,93.333313,-19,500.000004,-1,50,-30,150
2001/4/9 0:00,-16,6.666687,10,-166.667,4,-200,-15,-25
2001/4/10 0:00,-22,0,62,444.44532,-10,-240,20,-195
2001/4/11 0:00,10,30,35,388.88867,-12,60,15,120
2001/4/12 0:00,-6,46.666687,-35,1277.77734,10,-70,0,315
2001/4/13 0:00,-8,-23.333374,23,333.33399,-9,20,-80,25
2001/4/16 0:00,-4,-16.666687,-32,-500,-1,-70,30,35
2001/4/17 0:00,-2,-23.333313,6,-666.667,-16,40,40,-110
2001/4/18 0:00,10,0,-2,1222.22168,17,50,0,60
